2012-55-28_02:55:42.539	0.0000625000	1387	0	0	0	0	0	0	0	
2012-55-28_02:55:42.585	0.0000625000	1424	0	0	0	0	0	0	0	
2012-55-28_02:55:42.597	0.0000625000	1465	0	0	0	0	0	0	0	
2012-55-28_02:55:42.642	0.0000625000	1490	0	0	0	0	0	0	0	
2012-55-28_02:55:42.677	0.0000625000	1484	0	0	0	0	0	0	0	
2012-55-28_02:55:42.695	0.0000625000	1480	0	0	0	0	0	0	0	
2012-55-28_02:55:42.711	0.0000625000	1468	0	0	0	0	0	0	0	
2012-55-28_02:55:42.740	0.0000625000	1454	0	0	0	0	0	0	0	
2012-55-28_02:55:42.777	0.0000625000	1446	0	0	0	0	0	0	0	
2012-55-28_02:55:42.806	0.0000625000	1449	0	0	0	0	0	0	0	
2012-55-28_02:55:42.838	0.0000625000	1464	0	0	0	0	0	0	0	
2012-55-28_02:55:42.874	0.0000625000	1474	0	0	0	0	0	0	0	
2012-55-28_02:55:42.906	0.0000625000	1489	0	0	0	0	0	0	0	
2012-55-28_02:55:42.934	0.0000625000	1503	0	0	0	0	0	0	0	
2012-55-28_02:55:42.971	0.0000625000	1519	0	0	0	0	0	0	0	
2012-55-28_02:55:43.021	0.0000625000	1544	0	0	0	0	0	0	0	
2012-55-28_02:55:43.035	0.0000625000	1575	0	0	0	0	0	0	0	
2012-55-28_02:55:43.057	0.0000625000	1611	0	0	0	0	0	0	0	
2012-55-28_02:55:43.107	0.0000625000	1608	0	0	0	0	0	0	0	
2012-55-28_02:55:43.122	0.0000625000	1593	0	0	0	0	0	0	0	
2012-55-28_02:55:43.147	0.0000625000	1566	0	0	0	0	0	0	0	
2012-55-28_02:55:43.183	0.0000625000	1553	0	0	0	0	0	0	0	
2012-55-28_02:55:43.214	0.0000625000	1565	0	0	0	0	0	0	0	
2012-55-28_02:55:43.267	0.0000625000	1601	0	0	0	0	0	0	0	
2012-55-28_02:55:43.283	0.0000625000	1653	0	0	0	0	0	0	0	
2012-55-28_02:55:43.308	0.0000625000	1720	0	0	0	0	0	0	0	
2012-55-28_02:55:43.338	0.0000625000	1746	0	0	0	0	0	0	0	
2012-55-28_02:55:43.370	0.0000625000	1758	0	0	0	0	0	0	0	
2012-55-28_02:55:43.398	0.0000625000	1748	0	0	0	0	0	0	0	
2012-55-28_02:55:43.432	0.0000625000	1735	0	0	0	0	0	0	0	
2012-55-28_02:55:43.462	0.0000625000	1727	0	0	0	0	0	0	0	
2012-55-28_02:55:43.491	0.0000625000	1735	0	0	0	0	0	0	0	
